respID,qID,altID,obsID,profileID,price,hotel_quality,flight_quality,seat_quality,number_of_games,stage_of_tournament
7,1,2,37,1634,4,5,First,Touchline Section,1,Final Knockout
7,1,3,37,1275,2,5,Economy,Touchline Section,3,Early Knockout
7,2,1,38,883,2,3,Economy,Corner Section,1,Early Knockout
7,2,2,38,208,6,5,First,Upper Deck,1,Group Stage
7,2,3,38,74,5,4,First,Corner Section,0,Group Stage
7,3,1,39,390,6,4,Economy,Corner Section,2,Group Stage
7,3,2,39,1729,8,3,Economy,Corner Section,2,Final Knockout
7,3,3,39,509,6,3,Economy,Upper Deck,3,Group Stage
7,4,1,40,1789,5,3,First,Touchline Section,2,Final Knockout
7,4,2,40,890,2,4,Economy,Corner Section,1,Early Knockout
7,4,3,40,1765,2,3,Economy,Touchline Section,2,Final Knockout
7,5,1,41,1565,5,4,Economy,Corner Section,1,Final Knockout
7,5,2,41,544,6,5,First,Upper Deck,3,Group Stage
7,5,3,41,1651,7,4,Economy,Goal Section,1,Final Knockout
7,6,1,42,296,3,3,Economy,Goal Section,1,Group Stage
7,6,2,42,1031,3,3,First,Upper Deck,2,Early Knockout
7,6,3,42,237,7,3,First,Corner Section,1,Group Stage
8,1,1,43,712,6,5,First,Upper Deck,0,Early Knockout
8,1,2,43,17,4,5,Economy,Upper Deck,0,Group Stage
8,1,3,43,767,5,4,Economy,Touchline Section,0,Early Knockout
8,2,1,44,1728,7,3,Economy,Corner Section,2,Final Knockout
8,2,2,44,1736,8,4,Economy,Corner Section,2,Final Knockout
8,2,3,44,1815,3,4,Economy,Goal Section,2,Final Knockout
8,3,1,45,391,7,4,Economy,Corner Section,2,Group Stage
8,3,2,45,1676,4,5,First,Goal Section,1,Final Knockout
8,3,3,45,1422,2,5,First,Corner Section,0,Final Knockout
8,4,1,46,1895,6,3,Economy,Corner Section,3,Final Knockout
8,4,2,46,131,6,3,Economy,Goal Section,0,Group Stage
8,4,3,46,1940,2,4,Economy,Touchline Section,3,Final Knockout
8,5,1,47,1429,2,3,Economy,Touchline Section,0,Final Knockout
8,5,2,47,792,2,5,First,Touchline Section,0,Early Knockout
8,5,3,47,1334,5,4,First,Goal Section,3,Early Knockout
8,6,1,48,630,8,5,First,Touchline Section,3,Group Stage
8,6,2,48,884,3,3,Economy,Corner Section,1,Early Knockout
8,6,3,48,566,7,5,Economy,Corner Section,3,Group Stage
9,1,1,49,627,5,5,First,Touchline Section,3,Group Stage
9,1,2,49,708,2,5,First,Upper Deck,0,Early Knockout
9,1,3,49,1763,7,5,First,Corner Section,2,Final Knockout
9,2,1,50,191,3,3,First,Upper Deck,1,Group Stage
9,2,2,50,605,4,5,Economy,Touchline Section,3,Group Stage
9,2,3,50,1751,2,4,First,Corner Section,2,Final Knockout
9,3,1,51,439,6,5,Economy,Touchline Section,2,Group Stage
9,3,2,51,701,2,4,First,Upper Deck,0,Early Knockout
9,3,3,51,780,4,3,First,Touchline Section,0,Early Knockout
9,4,1,52,1939,8,3,Economy,Touchline Section,3,Final Knockout
9,4,2,52,1137,4,3,Economy,Goal Section,2,Early Knockout
9,4,3,52,639,3,4,Economy,Goal Section,3,Group Stage
9,5,1,53,2009,8,4,First,Goal Section,3,Final Knockout
9,5,2,53,218,2,4,Economy,Corner Section,1,Group Stage
9,5,3,53,1572,5,5,Economy,Corner Section,1,Final Knockout
9,6,1,54,1756,7,4,First,Corner Section,2,Final Knockout
9,6,2,54,832,7,4,First,Goal Section,0,Early Knockout
9,6,3,54,82,6,5,First,Corner Section,0,Group Stage
10,1,1,55,347,5,4,Economy,Upper Deck,2,Group Stage
10,1,2,55,1317,2,5,Economy,Goal Section,3,Early Knockout
10,1,3,55,1017,3,4,Economy,Upper Deck,2,Early Knockout
10,2,1,56,1749,7,3,First,Corner Section,2,Final Knockout
10,2,2,56,963,5,5,First,Touchline Section,1,Early Knockout
10,2,3,56,501,5,5,First,Goal Section,2,Group Stage
10,3,1,57,1187,5,4,Economy,Upper Deck,3,Early Knockout
10,3,2,57,1884,2,5,First,Upper Deck,3,Final Knockout
10,3,3,57,465,4,3,Economy,Goal Section,2,Group Stage
10,4,1,58,502,6,5,First,Goal Section,2,Group Stage
10,4,2,58,935,5,4,Economy,Touchline Section,1,Early Knockout
10,4,3,58,62,7,5,Economy,Corner Section,0,Group Stage
10,5,1,59,1501,4,4,First,Goal Section,0,Final Knockout
10,5,2,59,1019,5,4,Economy,Upper Deck,2,Early Knockout
10,5,3,59,1057,8,3,Economy,Corner Section,2,Early Knockout
10,6,1,60,1298,4,5,First,Touchline Section,3,Early Knockout
10,6,2,60,309,2,5,Economy,Goal Section,1,Group Stage
10,6,3,60,304,4,4,Economy,Goal Section,1,Group Stage
11,1,1,61,1931,7,5,First,Corner Section,3,Final Knockout
11,1,2,61,882,8,5,First,Upper Deck,1,Early Knockout
11,1,3,61,1777,7,4,Economy,Touchline Section,2,Final Knockout
11,2,1,62,1356,6,4,Economy,Upper Deck,0,Final Knockout
11,2,2,62,1770,7,3,Economy,Touchline Section,2,Final Knockout
11,2,3,62,1608,6,4,Economy,Touchline Section,1,Final Knockout
11,3,1,63,1896,7,3,Economy,Corner Section,3,Final Knockout
11,3,2,63,1042,7,4,First,Upper Deck,2,Early Knockout
11,3,3,63,351,2,5,Economy,Upper Deck,2,Group Stage
11,4,1,64,1763,7,5,First,Corner Section,2,Final Knockout
11,4,2,64,1332,3,4,First,Goal Section,3,Early Knockout
11,4,3,64,505,2,3,Economy,Upper Deck,3,Group Stage
11,5,1,65,1236,5,5,Economy,Corner Section,3,Early Knockout
11,5,2,65,119,8,4,First,Touchline Section,0,Group Stage
11,5,3,65,2010,2,5,First,Goal Section,3,Final Knockout
11,6,1,66,625,3,5,First,Touchline Section,3,Group Stage
11,6,2,66,866,6,3,First,Upper Deck,1,Early Knockout
11,6,3,66,1081,4,4,First,Corner Section,2,Early Knockout
12,1,1,67,1834,8,3,First,Goal Section,2,Final Knockout
12,1,2,67,843,4,3,Economy,Upper Deck,1,Early Knockout
12,1,3,67,653,3,3,First,Goal Section,3,Group Stage
12,2,1,68,1804,6,5,First,Touchline Section,2,Final Knockout
12,2,2,68,1637,7,5,First,Touchline Section,1,Final Knockout
12,2,3,68,462,8,5,First,Touchline Section,2,Group Stage
12,3,1,69,1460,5,4,First,Touchline Section,0,Final Knockout
12,3,2,69,1438,4,4,Economy,Touchline Section,0,Final Knockout
12,3,3,69,1747,5,3,First,Corner Section,2,Final Knockout
12,4,1,70,1668,3,4,First,Goal Section,1,Final Knockout
12,4,2,70,1511,7,5,First,Goal Section,0,Final Knockout
12,4,3,70,483,8,5,Economy,Goal Section,2,Group Stage
12,5,1,71,741,7,3,First,Corner Section,0,Early Knockout
12,5,2,71,1246,8,3,First,Corner Section,3,Early Knockout
12,5,3,71,1022,8,4,Economy,Upper Deck,2,Early Knockout
12,6,1,72,2015,7,5,First,Goal Section,3,Final Knockout
12,6,2,72,1530,5,5,Economy,Upper Deck,1,Final Knockout
12,6,3,72,216,7,3,Economy,Corner Section,1,Group Stage
13,1,1,73,1401,2,5,Economy,Corner Section,0,Final Knockout
13,1,2,73,138,6,4,Economy,Goal Section,0,Group Stage
13,1,3,73,491,2,4,First,Goal Section,2,Group Stage
13,2,1,74,1458,3,4,First,Touchline Section,0,Final Knockout
13,2,2,74,294,8,5,First,Touchline Section,1,Group Stage
13,2,3,74,1513,2,3,Economy,Upper Deck,1,Final Knockout
13,3,1,75,779,3,3,First,Touchline Section,0,Early Knockout
13,3,2,75,1965,6,4,First,Touchline Section,3,Final Knockout
13,3,3,75,264,6,4,Economy,Touchline Section,1,Group Stage
13,4,1,76,1874,6,3,First,Upper Deck,3,Final Knockout
13,4,2,76,379,2,3,Economy,Corner Section,2,Group Stage
13,4,3,76,1405,6,5,Economy,Corner Section,0,Final Knockout
13,5,1,77,651,8,5,Economy,Goal Section,3,Group Stage
13,5,2,77,171,4,3,Economy,Upper Deck,1,Group Stage
13,5,3,77,1376,5,4,First,Upper Deck,0,Final Knockout
13,6,1,78,1291,4,4,First,Touchline Section,3,Early Knockout
13,6,2,78,1907,4,5,Economy,Corner Section,3,Final Knockout
13,6,3,78,1618,2,3,First,Touchline Section,1,Final Knockout
14,1,1,79,1020,6,4,Economy,Upper Deck,2,Early Knockout
14,1,2,79,1298,4,5,First,Touchline Section,3,Early Knockout
14,1,3,79,707,8,4,First,Upper Deck,0,Early Knockout
14,2,1,80,1510,6,5,First,Goal Section,0,Final Knockout
14,2,2,80,122,4,5,First,Touchline Section,0,Group Stage
14,2,3,80,741,7,3,First,Corner Section,0,Early Knockout
14,3,1,81,913,4,4,First,Corner Section,1,Early Knockout
14,3,2,81,232,2,3,First,Corner Section,1,Group Stage
14,3,3,81,1997,3,3,First,Goal Section,3,Final Knockout
14,4,1,82,828,3,4,First,Goal Section,0,Early Knockout
14,4,2,82,1566,6,4,Economy,Corner Section,1,Final Knockout
14,4,3,82,872,5,4,First,Upper Deck,1,Early Knockout
14,5,1,83,1738,3,5,Economy,Corner Section,2,Final Knockout
14,5,2,83,280,8,3,First,Touchline Section,1,Group Stage
14,5,3,83,810,6,4,Economy,Goal Section,0,Early Knockout
14,6,1,84,1886,4,5,First,Upper Deck,3,Final Knockout
14,6,2,84,1846,6,5,First,Goal Section,2,Final Knockout
14,6,3,84,1842,2,5,First,Goal Section,2,Final Knockout
15,1,1,85,548,3,3,Economy,Corner Section,3,Group Stage
15,1,2,85,145,6,5,Economy,Goal Section,0,Group Stage
15,1,3,85,1268,2,4,Economy,Touchline Section,3,Early Knockout
15,2,1,86,375,5,5,First,Upper Deck,2,Group Stage
15,2,2,86,250,6,5,First,Corner Section,1,Group Stage
15,2,3,86,1754,5,4,First,Corner Section,2,Final Knockout
15,3,1,87,1211,8,4,First,Upper Deck,3,Early Knockout
15,3,2,87,1597,2,3,Economy,Touchline Section,1,Final Knockout
15,3,3,87,1143,3,4,Economy,Goal Section,2,Early Knockout
15,4,1,88,1610,8,4,Economy,Touchline Section,1,Final Knockout
15,4,2,88,1792,8,3,First,Touchline Section,2,Final Knockout
15,4,3,88,13,7,4,Economy,Upper Deck,0,Group Stage
15,5,1,89,1626,3,4,First,Touchline Section,1,Final Knockout
15,5,2,89,284,5,4,First,Touchline Section,1,Group Stage
15,5,3,89,164,4,5,First,Goal Section,0,Group Stage
15,6,1,90,148,2,3,First,Goal Section,0,Group Stage
15,6,2,90,2000,6,3,First,Goal Section,3,Final Knockout
15,6,3,90,571,5,3,First,Corner Section,3,Group Stage
16,1,1,91,1796,5,4,First,Touchline Section,2,Final Knockout
16,1,2,91,5,6,3,Economy,Upper Deck,0,Group Stage
16,1,3,91,1650,6,4,Economy,Goal Section,1,Final Knockout
16,2,1,92,1975,2,3,Economy,Goal Section,3,Final Knockout
16,2,2,92,1887,5,5,First,Upper Deck,3,Final Knockout
16,2,3,92,758,3,3,Economy,Touchline Section,0,Early Knockout
16,3,1,93,1134,8,5,First,Touchline Section,2,Early Knockout
16,3,2,93,695,3,3,First,Upper Deck,0,Early Knockout
16,3,3,93,998,5,4,First,Goal Section,1,Early Knockout
16,4,1,94,1881,6,4,First,Upper Deck,3,Final Knockout
16,4,2,94,902,7,5,Economy,Corner Section,1,Early Knockout
16,4,3,94,374,4,5,First,Upper Deck,2,Group Stage
16,5,1,95,620,5,4,First,Touchline Section,3,Group Stage
16,5,2,95,941,4,5,Economy,Touchline Section,1,Early Knockout
16,5,3,95,107,3,3,First,Touchline Section,0,Group Stage
16,6,1,96,1823,4,5,Economy,Goal Section,2,Final Knockout
16,6,2,96,1562,2,4,Economy,Corner Section,1,Final Knockout
16,6,3,96,128,3,3,Economy,Goal Section,0,Group Stage
17,1,1,97,1838,5,4,First,Goal Section,2,Final Knockout
17,1,2,97,1209,6,4,First,Upper Deck,3,Early Knockout
17,1,3,97,1201,5,3,First,Upper Deck,3,Early Knockout
17,2,1,98,1672,7,4,First,Goal Section,1,Final Knockout
17,2,2,98,237,7,3,First,Corner Section,1,Group Stage
17,2,3,98,1669,4,4,First,Goal Section,1,Final Knockout
17,3,1,99,1794,3,4,First,Touchline Section,2,Final Knockout
17,3,2,99,296,3,3,Economy,Goal Section,1,Group Stage
17,3,3,99,1190,8,4,Economy,Upper Deck,3,Early Knockout
17,4,1,100,1661,3,3,First,Goal Section,1,Final Knockout
17,4,2,100,1625,2,4,First,Touchline Section,1,Final Knockout
17,4,3,100,1839,6,4,First,Goal Section,2,Final Knockout
17,5,1,101,1728,7,3,Economy,Corner Section,2,Final Knockout
17,5,2,101,1563,3,4,Economy,Corner Section,1,Final Knockout
17,5,3,101,1577,3,3,First,Corner Section,1,Final Knockout
17,6,1,102,960,2,5,First,Touchline Section,1,Early Knockout
17,6,2,102,711,5,5,First,Upper Deck,0,Early Knockout
17,6,3,102,462,8,5,First,Touchline Section,2,Group Stage
18,1,1,103,39,5,5,First,Upper Deck,0,Group Stage
18,1,2,103,560,8,4,Economy,Corner Section,3,Group Stage
18,1,3,103,507,4,3,Economy,Upper Deck,3,Group Stage
18,2,1,104,1469,7,5,First,Touchline Section,0,Final Knockout
18,2,2,104,1162,8,3,First,Goal Section,2,Early Knockout
18,2,3,104,689,4,5,Economy,Upper Deck,0,Early Knockout
18,3,1,105,1036,8,3,First,Upper Deck,2,Early Knockout
18,3,2,105,700,8,3,First,Upper Deck,0,Early Knockout
18,3,3,105,762,7,3,Economy,Touchline Section,0,Early Knockout
18,4,1,106,265,7,4,Economy,Touchline Section,1,Group Stage
18,4,2,106,1919,2,4,First,Corner Section,3,Final Knockout
18,4,3,106,678,7,3,Economy,Upper Deck,0,Early Knockout
18,5,1,107,110,6,3,First,Touchline Section,0,Group Stage
18,5,2,107,248,4,5,First,Corner Section,1,Group Stage
18,5,3,107,541,3,5,First,Upper Deck,3,Group Stage
18,6,1,108,1304,3,3,Economy,Goal Section,3,Early Knockout
18,6,2,108,1274,8,4,Economy,Touchline Section,3,Early Knockout
18,6,3,108,1988,8,4,Economy,Goal Section,3,Final Knockout
19,1,1,109,1997,3,3,First,Goal Section,3,Final Knockout
19,1,2,109,1689,3,4,Economy,Upper Deck,2,Final Knockout
19,1,3,109,910,8,3,First,Corner Section,1,Early Knockout
19,2,1,110,57,2,5,Economy,Corner Section,0,Group Stage
19,2,2,110,1063,7,4,Economy,Corner Section,2,Early Knockout
19,2,3,110,1702,2,3,First,Upper Deck,2,Final Knockout
19,3,1,111,1176,8,5,First,Goal Section,2,Early Knockout
19,3,2,111,217,8,3,Economy,Corner Section,1,Group Stage
19,3,3,111,670,6,5,First,Goal Section,3,Group Stage
19,4,1,112,1122,3,4,First,Touchline Section,2,Early Knockout
19,4,2,112,1498,8,3,First,Goal Section,0,Final Knockout
19,4,3,112,225,2,5,Economy,Corner Section,1,Group Stage
19,5,1,113,1970,4,5,First,Touchline Section,3,Final Knockout
19,5,2,113,283,4,4,First,Touchline Section,1,Group Stage
19,5,3,113,190,2,3,First,Upper Deck,1,Group Stage
19,6,1,114,789,6,4,First,Touchline Section,0,Early Knockout
19,6,2,114,880,6,5,First,Upper Deck,1,Early Knockout
19,6,3,114,1353,3,4,Economy,Upper Deck,0,Final Knockout
20,1,1,115,1890,8,5,First,Upper Deck,3,Final Knockout
20,1,2,115,1584,3,4,First,Corner Section,1,Final Knockout
20,1,3,115,1040,5,4,First,Upper Deck,2,Early Knockout
20,2,1,116,1948,3,5,Economy,Touchline Section,3,Final Knockout
20,2,2,116,841,2,3,Economy,Upper Deck,1,Early Knockout
20,2,3,116,1200,4,3,First,Upper Deck,3,Early Knockout
20,3,1,117,303,3,4,Economy,Goal Section,1,Group Stage
20,3,2,117,1955,3,3,First,Touchline Section,3,Final Knockout
20,3,3,117,684,6,4,Economy,Upper Deck,0,Early Knockout
20,4,1,118,496,7,4,First,Goal Section,2,Group Stage
20,4,2,118,825,7,3,First,Goal Section,0,Early Knockout
20,4,3,118,1728,7,3,Economy,Corner Section,2,Final Knockout
20,5,1,119,1150,3,5,Economy,Goal Section,2,Early Knockout
20,5,2,119,1891,2,3,Economy,Corner Section,3,Final Knockout
20,5,3,119,343,8,3,Economy,Upper Deck,2,Group Stage
20,6,1,120,1870,2,3,First,Upper Deck,3,Final Knockout
20,6,2,120,613,5,3,First,Touchline Section,3,Group Stage
20,6,3,120,1685,6,3,Economy,Upper Deck,2,Final Knockout
21,1,1,121,1348,5,3,Economy,Upper Deck,0,Final Knockout
21,1,2,121,363,7,3,First,Upper Deck,2,Group Stage
21,1,3,121,1221,4,3,Economy,Corner Section,3,Early Knockout
21,2,1,122,1680,8,5,First,Goal Section,1,Final Knockout
21,2,2,122,2010,2,5,First,Goal Section,3,Final Knockout
21,2,3,122,889,8,3,Economy,Corner Section,1,Early Knockout
21,3,1,123,1326,4,3,First,Goal Section,3,Early Knockout
21,3,2,123,158,5,4,First,Goal Section,0,Group Stage
21,3,3,123,1814,2,4,Economy,Goal Section,2,Final Knockout
21,4,1,124,68,6,3,First,Corner Section,0,Group Stage
21,4,2,124,304,4,4,Economy,Goal Section,1,Group Stage
21,4,3,124,1346,3,3,Economy,Upper Deck,0,Final Knockout
21,5,1,125,746,5,4,First,Corner Section,0,Early Knockout
21,5,2,125,1269,3,4,Economy,Touchline Section,3,Early Knockout
21,5,3,125,891,3,4,Economy,Corner Section,1,Early Knockout
21,6,1,126,750,2,5,First,Corner Section,0,Early Knockout
21,6,2,126,1098,7,3,Economy,Touchline Section,2,Early Knockout
21,6,3,126,1015,8,3,Economy,Upper Deck,2,Early Knockout
22,1,1,127,184,3,5,Economy,Upper Deck,1,Group Stage
22,1,2,127,976,4,4,Economy,Goal Section,1,Early Knockout
22,1,3,127,1009,2,3,Economy,Upper Deck,2,Early Knockout
22,2,1,128,537,6,4,First,Upper Deck,3,Group Stage
22,2,2,128,691,6,5,Economy,Upper Deck,0,Early Knockout
22,2,3,128,233,3,3,First,Corner Section,1,Group Stage
22,3,1,129,800,3,3,Economy,Goal Section,0,Early Knockout
22,3,2,129,150,4,3,First,Goal Section,0,Group Stage
22,3,3,129,909,7,3,First,Corner Section,1,Early Knockout
22,4,1,130,991,5,3,First,Goal Section,1,Early Knockout
22,4,2,130,301,8,3,Economy,Goal Section,1,Group Stage
22,4,3,130,1900,4,4,Economy,Corner Section,3,Final Knockout
22,5,1,131,527,3,3,First,Upper Deck,3,Group Stage
22,5,2,131,1518,7,3,Economy,Upper Deck,1,Final Knockout
22,5,3,131,1479,3,4,Economy,Goal Section,0,Final Knockout
22,6,1,132,1015,8,3,Economy,Upper Deck,2,Early Knockout
22,6,2,132,996,3,4,First,Goal Section,1,Early Knockout
22,6,3,132,243,6,4,First,Corner Section,1,Group Stage
23,1,1,133,69,7,3,First,Corner Section,0,Group Stage
23,1,2,133,1307,6,3,Economy,Goal Section,3,Early Knockout
23,1,3,133,1719,5,5,First,Upper Deck,2,Final Knockout
23,2,1,134,1013,6,3,Economy,Upper Deck,2,Early Knockout
23,2,2,134,1651,7,4,Economy,Goal Section,1,Final Knockout
23,2,3,134,1363,6,5,Economy,Upper Deck,0,Final Knockout
23,3,1,135,764,2,4,Economy,Touchline Section,0,Early Knockout
23,3,2,135,383,6,3,Economy,Corner Section,2,Group Stage
23,3,3,135,535,4,4,First,Upper Deck,3,Group Stage
23,4,1,136,1817,5,4,Economy,Goal Section,2,Final Knockout
23,4,2,136,1999,5,3,First,Goal Section,3,Final Knockout
23,4,3,136,636,7,3,Economy,Goal Section,3,Group Stage
23,5,1,137,1232,8,4,Economy,Corner Section,3,Early Knockout
23,5,2,137,1584,3,4,First,Corner Section,1,Final Knockout
23,5,3,137,297,4,3,Economy,Goal Section,1,Group Stage
23,6,1,138,103,6,5,Economy,Touchline Section,0,Group Stage
23,6,2,138,1296,2,5,First,Touchline Section,3,Early Knockout
23,6,3,138,918,2,5,First,Corner Section,1,Early Knockout
24,1,1,139,1165,4,4,First,Goal Section,2,Early Knockout
24,1,2,139,730,3,5,Economy,Corner Section,0,Early Knockout
24,1,3,139,71,2,4,First,Corner Section,0,Group Stage
24,2,1,140,1282,2,3,First,Touchline Section,3,Early Knockout
24,2,2,140,403,5,3,First,Corner Section,2,Group Stage
24,2,3,140,1867,6,5,Economy,Upper Deck,3,Final Knockout
24,3,1,141,1523,5,4,Economy,Upper Deck,1,Final Knockout
24,3,2,141,1446,5,5,Economy,Touchline Section,0,Final Knockout
24,3,3,141,1177,2,3,Economy,Upper Deck,3,Early Knockout
24,4,1,142,1726,5,3,Economy,Corner Section,2,Final Knockout
24,4,2,142,576,3,4,First,Corner Section,3,Group Stage
