respID,qID,altID,obsID,profileID,price,seat_quality,number_of_games,pass__quality
10,1,1,55,244,3,Touchline Section,0,Gold
10,1,2,55,176,0.5,Corner Section,2,Silver
10,1,3,55,114,1,Upper Deck,0,Silver
10,2,1,56,278,2.5,Goal Section,1,Gold
10,2,2,56,89,2.5,Upper Deck,3,Bronze
10,2,3,56,37,1,Corner Section,1,Bronze
10,3,1,57,288,0.5,Corner Section,2,Gold
10,3,2,57,188,3,Touchline Section,2,Silver
10,3,3,57,232,0.5,Corner Section,0,Gold
10,4,1,58,179,2,Corner Section,2,Silver
10,4,2,58,127,0.5,Touchline Section,0,Silver
10,4,3,58,320,2.5,Corner Section,3,Gold
10,5,1,59,195,3,Goal Section,2,Silver
10,5,2,59,250,2.5,Goal Section,0,Gold
10,5,3,59,92,0.5,Corner Section,3,Bronze
10,6,1,60,330,0.5,Goal Section,3,Gold
10,6,2,60,136,1.5,Goal Section,0,Silver
10,6,3,60,205,1,Corner Section,3,Silver
11,1,1,61,73,1.5,Touchline Section,2,Bronze
11,1,2,61,133,3.5,Touchline Section,0,Silver
11,1,3,61,122,1.5,Corner Section,0,Silver
11,2,1,62,33,2.5,Upper Deck,1,Bronze
11,2,2,62,89,2.5,Upper Deck,3,Bronze
11,2,3,62,129,1.5,Touchline Section,0,Silver
11,3,1,63,100,1,Touchline Section,3,Bronze
11,3,2,63,225,0.5,Upper Deck,0,Gold
11,3,3,63,213,1.5,Touchline Section,3,Silver
11,4,1,64,88,2,Upper Deck,3,Bronze
11,4,2,64,81,2,Goal Section,2,Bronze
11,4,3,64,133,3.5,Touchline Section,0,Silver
11,5,1,65,94,1.5,Corner Section,3,Bronze
11,5,2,65,255,1.5,Upper Deck,1,Gold
11,5,3,65,153,3,Corner Section,1,Silver
11,6,1,66,206,1.5,Corner Section,3,Silver
11,6,2,66,283,1.5,Upper Deck,2,Gold
11,6,3,66,200,2,Upper Deck,3,Silver
12,1,1,67,247,1,Goal Section,0,Gold
12,1,2,67,292,2.5,Corner Section,2,Gold
12,1,3,67,166,2.5,Goal Section,1,Silver
12,2,1,68,162,0.5,Goal Section,1,Silver
12,2,2,68,238,3.5,Corner Section,0,Gold
12,2,3,68,219,1,Goal Section,3,Silver
12,3,1,69,83,3,Goal Section,2,Bronze
12,3,2,69,237,3,Corner Section,0,Gold
12,3,3,69,212,1,Touchline Section,3,Silver
12,4,1,70,125,3,Corner Section,0,Silver
12,4,2,70,220,1.5,Goal Section,3,Silver
12,4,3,70,105,3.5,Touchline Section,3,Bronze
12,5,1,71,206,1.5,Corner Section,3,Silver
12,5,2,71,134,0.5,Goal Section,0,Silver
12,5,3,71,251,3,Goal Section,0,Gold
12,6,1,72,154,3.5,Corner Section,1,Silver
12,6,2,72,103,2.5,Touchline Section,3,Bronze
12,6,3,72,1,0.5,Upper Deck,0,Bronze
13,1,1,73,274,0.5,Goal Section,1,Gold
13,1,2,73,151,2,Corner Section,1,Silver
13,1,3,73,200,2,Upper Deck,3,Silver
13,2,1,74,18,2,Touchline Section,0,Bronze
13,2,2,74,10,1.5,Corner Section,0,Bronze
13,2,3,74,227,1.5,Upper Deck,0,Gold
13,3,1,75,157,1.5,Touchline Section,1,Silver
13,3,2,75,284,2,Upper Deck,2,Gold
13,3,3,75,134,0.5,Goal Section,0,Silver
13,4,1,76,131,2.5,Touchline Section,0,Silver
13,4,2,76,28,3.5,Goal Section,0,Bronze
13,4,3,76,40,2.5,Corner Section,1,Bronze
13,5,1,77,327,2.5,Touchline Section,3,Gold
13,5,2,77,128,1,Touchline Section,0,Silver
13,5,3,77,315,3.5,Upper Deck,3,Gold
13,6,1,78,65,1,Corner Section,2,Bronze
13,6,2,78,280,3.5,Goal Section,1,Gold
13,6,3,78,17,1.5,Touchline Section,0,Bronze
14,1,1,79,263,2,Corner Section,1,Gold
14,1,2,79,94,1.5,Corner Section,3,Bronze
14,1,3,79,9,1,Corner Section,0,Bronze
14,2,1,80,20,3,Touchline Section,0,Bronze
14,2,2,80,178,1.5,Corner Section,2,Silver
14,2,3,80,76,3,Touchline Section,2,Bronze
14,3,1,81,164,1.5,Goal Section,1,Silver
14,3,2,81,156,1,Touchline Section,1,Silver
14,3,3,81,223,3,Goal Section,3,Silver
14,4,1,82,58,1,Upper Deck,2,Bronze
14,4,2,82,15,0.5,Touchline Section,0,Bronze
14,4,3,82,35,3.5,Upper Deck,1,Bronze
14,5,1,83,197,0.5,Upper Deck,3,Silver
14,5,2,83,182,3.5,Corner Section,2,Silver
14,5,3,83,83,3,Goal Section,2,Bronze
14,6,1,84,322,3.5,Corner Section,3,Gold
14,6,2,84,115,1.5,Upper Deck,0,Silver
14,6,3,84,34,3,Upper Deck,1,Bronze
15,1,1,85,269,1.5,Touchline Section,1,Gold
15,1,2,85,63,3.5,Upper Deck,2,Bronze
15,1,3,85,130,2,Touchline Section,0,Silver
15,2,1,86,114,1,Upper Deck,0,Silver
15,2,2,86,86,1,Upper Deck,3,Bronze
15,2,3,86,256,2,Upper Deck,1,Gold
15,3,1,87,181,3,Corner Section,2,Silver
15,3,2,87,2,1,Upper Deck,0,Bronze
15,3,3,87,62,3,Upper Deck,2,Bronze
15,4,1,88,301,3.5,Touchline Section,2,Gold
15,4,2,88,295,0.5,Touchline Section,2,Gold
15,4,3,88,193,2,Goal Section,2,Silver
15,5,1,89,217,3.5,Touchline Section,3,Silver
15,5,2,89,131,2.5,Touchline Section,0,Silver
15,5,3,89,4,2,Upper Deck,0,Bronze
15,6,1,90,189,3.5,Touchline Section,2,Silver
15,6,2,90,254,1,Upper Deck,1,Gold
15,6,3,90,325,1.5,Touchline Section,3,Gold
16,1,1,91,252,3.5,Goal Section,0,Gold
16,1,2,91,89,2.5,Upper Deck,3,Bronze
16,1,3,91,294,3.5,Corner Section,2,Gold
16,2,1,92,176,0.5,Corner Section,2,Silver
16,2,2,92,45,1.5,Touchline Section,1,Bronze
16,2,3,92,118,3,Upper Deck,0,Silver
16,3,1,93,150,1.5,Corner Section,1,Silver
16,3,2,93,333,2,Goal Section,3,Gold
16,3,3,93,179,2,Corner Section,2,Silver
16,4,1,94,37,1,Corner Section,1,Bronze
16,4,2,94,92,0.5,Corner Section,3,Bronze
16,4,3,94,157,1.5,Touchline Section,1,Silver
16,5,1,95,230,3,Upper Deck,0,Gold
16,5,2,95,201,2.5,Upper Deck,3,Silver
16,5,3,95,316,0.5,Corner Section,3,Gold
16,6,1,96,284,2,Upper Deck,2,Gold
16,6,2,96,318,1.5,Corner Section,3,Gold
16,6,3,96,118,3,Upper Deck,0,Silver
17,1,1,97,97,3,Corner Section,3,Bronze
17,1,2,97,74,2,Touchline Section,2,Bronze
17,1,3,97,269,1.5,Touchline Section,1,Gold
17,2,1,98,282,1,Upper Deck,2,Gold
17,2,2,98,336,3.5,Goal Section,3,Gold
17,2,3,98,296,1,Touchline Section,2,Gold
17,3,1,99,27,3,Goal Section,0,Bronze
17,3,2,99,117,2.5,Upper Deck,0,Silver
17,3,3,99,223,3,Goal Section,3,Silver
17,4,1,100,306,2.5,Goal Section,2,Gold
17,4,2,100,283,1.5,Upper Deck,2,Gold
17,4,3,100,57,0.5,Upper Deck,2,Bronze
17,5,1,101,282,1,Upper Deck,2,Gold
17,5,2,101,62,3,Upper Deck,2,Bronze
17,5,3,101,26,2.5,Goal Section,0,Bronze
17,6,1,102,180,2.5,Corner Section,2,Silver
17,6,2,102,306,2.5,Goal Section,2,Gold
17,6,3,102,97,3,Corner Section,3,Bronze
18,1,1,103,335,3,Goal Section,3,Gold
18,1,2,103,264,2.5,Corner Section,1,Gold
18,1,3,103,220,1.5,Goal Section,3,Silver
18,2,1,104,232,0.5,Corner Section,0,Gold
18,2,2,104,319,2,Corner Section,3,Gold
18,2,3,104,217,3.5,Touchline Section,3,Silver
18,3,1,105,95,2,Corner Section,3,Bronze
18,3,2,105,299,2.5,Touchline Section,2,Gold
18,3,3,105,336,3.5,Goal Section,3,Gold
18,4,1,106,144,2,Upper Deck,1,Silver
18,4,2,106,209,3,Corner Section,3,Silver
18,4,3,106,75,2.5,Touchline Section,2,Bronze
18,5,1,107,172,2,Upper Deck,2,Silver
18,5,2,107,292,2.5,Corner Section,2,Gold
18,5,3,107,143,1.5,Upper Deck,1,Silver
18,6,1,108,227,1.5,Upper Deck,0,Gold
18,6,2,108,249,2,Goal Section,0,Gold
18,6,3,108,119,3.5,Upper Deck,0,Silver
19,1,1,109,242,2,Touchline Section,0,Gold
19,1,2,109,205,1,Corner Section,3,Silver
19,1,3,109,206,1.5,Corner Section,3,Silver
19,2,1,110,156,1,Touchline Section,1,Silver
19,2,2,110,120,0.5,Corner Section,0,Silver
19,2,3,110,122,1.5,Corner Section,0,Silver
19,3,1,111,123,2,Corner Section,0,Silver
19,3,2,111,2,1,Upper Deck,0,Bronze
19,3,3,111,250,2.5,Goal Section,0,Gold
19,4,1,112,318,1.5,Corner Section,3,Gold
19,4,2,112,110,2.5,Goal Section,3,Bronze
19,4,3,112,148,0.5,Corner Section,1,Silver
19,5,1,113,109,2,Goal Section,3,Bronze
19,5,2,113,183,0.5,Touchline Section,2,Silver
19,5,3,113,133,3.5,Touchline Section,0,Silver
19,6,1,114,80,1.5,Goal Section,2,Bronze
19,6,2,114,66,1.5,Corner Section,2,Bronze
19,6,3,114,282,1,Upper Deck,2,Gold
20,1,1,115,140,3.5,Goal Section,0,Silver
20,1,2,115,209,3,Corner Section,3,Silver
20,1,3,115,7,3.5,Upper Deck,0,Bronze
20,2,1,116,201,2.5,Upper Deck,3,Silver
20,2,2,116,8,0.5,Corner Section,0,Bronze
20,2,3,116,173,2.5,Upper Deck,2,Silver
20,3,1,117,275,1,Goal Section,1,Gold
20,3,2,117,69,3,Corner Section,2,Bronze
20,3,3,117,131,2.5,Touchline Section,0,Silver
20,4,1,118,177,1,Corner Section,2,Silver
20,4,2,118,171,1.5,Upper Deck,2,Silver
20,4,3,118,107,1,Goal Section,3,Bronze
20,5,1,119,6,3,Upper Deck,0,Bronze
20,5,2,119,276,1.5,Goal Section,1,Gold
20,5,3,119,223,3,Goal Section,3,Silver
20,6,1,120,139,3,Goal Section,0,Silver
20,6,2,120,268,1,Touchline Section,1,Gold
20,6,3,120,13,3,Corner Section,0,Bronze
21,1,1,121,230,3,Upper Deck,0,Gold
21,1,2,121,132,3,Touchline Section,0,Silver
21,1,3,121,271,2.5,Touchline Section,1,Gold
21,2,1,122,180,2.5,Corner Section,2,Silver
21,2,2,122,173,2.5,Upper Deck,2,Silver
21,2,3,122,153,3,Corner Section,1,Silver
21,3,1,123,77,3.5,Touchline Section,2,Bronze
21,3,2,123,64,0.5,Corner Section,2,Bronze
21,3,3,123,110,2.5,Goal Section,3,Bronze
21,4,1,124,13,3,Corner Section,0,Bronze
21,4,2,124,124,2.5,Corner Section,0,Silver
21,4,3,124,97,3,Corner Section,3,Bronze
21,5,1,125,210,3.5,Corner Section,3,Silver
21,5,2,125,290,1.5,Corner Section,2,Gold
21,5,3,125,130,2,Touchline Section,0,Silver
21,6,1,126,13,3,Corner Section,0,Bronze
21,6,2,126,211,0.5,Touchline Section,3,Silver
21,6,3,126,99,0.5,Touchline Section,3,Bronze
22,1,1,127,137,2,Goal Section,0,Silver
22,1,2,127,218,0.5,Goal Section,3,Silver
22,1,3,127,98,3.5,Corner Section,3,Bronze
22,2,1,128,213,1.5,Touchline Section,3,Silver
22,2,2,128,177,1,Corner Section,2,Silver
22,2,3,128,286,3,Upper Deck,2,Gold
22,3,1,129,320,2.5,Corner Section,3,Gold
22,3,2,129,24,1.5,Goal Section,0,Bronze
22,3,3,129,308,3.5,Goal Section,2,Gold
22,4,1,130,330,0.5,Goal Section,3,Gold
22,4,2,130,3,1.5,Upper Deck,0,Bronze
22,4,3,130,6,3,Upper Deck,0,Bronze
22,5,1,131,106,0.5,Goal Section,3,Bronze
22,5,2,131,247,1,Goal Section,0,Gold
22,5,3,131,99,0.5,Touchline Section,3,Bronze
22,6,1,132,31,1.5,Upper Deck,1,Bronze
22,6,2,132,320,2.5,Corner Section,3,Gold
22,6,3,132,301,3.5,Touchline Section,2,Gold
23,1,1,133,223,3,Goal Section,3,Silver
23,1,2,133,186,2,Touchline Section,2,Silver
23,1,3,133,162,0.5,Goal Section,1,Silver
23,2,1,134,334,2.5,Goal Section,3,Gold
23,2,2,134,151,2,Corner Section,1,Silver
23,2,3,134,210,3.5,Corner Section,3,Silver
23,3,1,135,229,2.5,Upper Deck,0,Gold
23,3,2,135,197,0.5,Upper Deck,3,Silver
23,3,3,135,72,1,Touchline Section,2,Bronze
23,4,1,136,327,2.5,Touchline Section,3,Gold
23,4,2,136,59,1.5,Upper Deck,2,Bronze
23,4,3,136,273,3.5,Touchline Section,1,Gold
23,5,1,137,152,2.5,Corner Section,1,Silver
23,5,2,137,140,3.5,Goal Section,0,Silver
23,5,3,137,81,2,Goal Section,2,Bronze
23,6,1,138,86,1,Upper Deck,3,Bronze
23,6,2,138,219,1,Goal Section,3,Silver
23,6,3,138,22,0.5,Goal Section,0,Bronze
24,1,1,139,183,0.5,Touchline Section,2,Silver
24,1,2,139,4,2,Upper Deck,0,Bronze
24,1,3,139,161,3.5,Touchline Section,1,Silver
24,2,1,140,12,2.5,Corner Section,0,Bronze
24,2,2,140,50,0.5,Goal Section,1,Bronze
24,2,3,140,271,2.5,Touchline Section,1,Gold
24,3,1,141,10,1.5,Corner Section,0,Bronze
24,3,2,141,150,1.5,Corner Section,1,Silver
24,3,3,141,137,2,Goal Section,0,Silver
24,4,1,142,24,1.5,Goal Section,0,Bronze
24,4,2,142,12,2.5,Corner Section,0,Bronze
24,4,3,142,20,3,Touchline Section,0,Bronze
24,5,1,143,42,3.5,Corner Section,1,Bronze
24,5,2,143,271,2.5,Touchline Section,1,Gold
24,5,3,143,82,2.5,Goal Section,2,Bronze
24,6,1,144,12,2.5,Corner Section,0,Bronze
24,6,2,144,255,1.5,Upper Deck,1,Gold
24,6,3,144,272,3,Touchline Section,1,Gold
25,1,1,145,288,0.5,Corner Section,2,Gold
25,1,2,145,253,0.5,Upper Deck,1,Gold
25,1,3,145,218,0.5,Goal Section,3,Silver
25,2,1,146,292,2.5,Corner Section,2,Gold
25,2,2,146,69,3,Corner Section,2,Bronze
25,2,3,146,78,0.5,Goal Section,2,Bronze
25,3,1,147,284,2,Upper Deck,2,Gold
25,3,2,147,206,1.5,Corner Section,3,Silver
25,3,3,147,122,1.5,Corner Section,0,Silver
25,4,1,148,146,3,Upper Deck,1,Silver
25,4,2,148,254,1,Upper Deck,1,Gold
25,4,3,148,83,3,Goal Section,2,Bronze
25,5,1,149,69,3,Corner Section,2,Bronze
25,5,2,149,106,0.5,Goal Section,3,Bronze
25,5,3,149,308,3.5,Goal Section,2,Gold
25,6,1,150,86,1,Upper Deck,3,Bronze
25,6,2,150,301,3.5,Touchline Section,2,Gold
25,6,3,150,262,1.5,Corner Section,1,Gold
26,1,1,151,243,2.5,Touchline Section,0,Gold
26,1,2,151,17,1.5,Touchline Section,0,Bronze
26,1,3,151,171,1.5,Upper Deck,2,Silver
26,2,1,152,115,1.5,Upper Deck,0,Silver
26,2,2,152,219,1,Goal Section,3,Silver
26,2,3,152,64,0.5,Corner Section,2,Bronze
26,3,1,153,331,1,Goal Section,3,Gold
26,3,2,153,211,0.5,Touchline Section,3,Silver
26,3,3,153,121,1,Corner Section,0,Silver
26,4,1,154,160,3,Touchline Section,1,Silver
26,4,2,154,91,3.5,Upper Deck,3,Bronze
26,4,3,154,14,3.5,Corner Section,0,Bronze
26,5,1,155,239,0.5,Touchline Section,0,Gold
26,5,2,155,41,3,Corner Section,1,Bronze
26,5,3,155,195,3,Goal Section,2,Silver
26,6,1,156,144,2,Upper Deck,1,Silver
26,6,2,156,80,1.5,Goal Section,2,Bronze
26,6,3,156,208,2.5,Corner Section,3,Silver
27,1,1,157,195,3,Goal Section,2,Silver
27,1,2,157,308,3.5,Goal Section,2,Gold
27,1,3,157,271,2.5,Touchline Section,1,Gold
27,2,1,158,63,3.5,Upper Deck,2,Bronze
27,2,2,158,130,2,Touchline Section,0,Silver
27,2,3,158,239,0.5,Touchline Section,0,Gold
27,3,1,159,31,1.5,Upper Deck,1,Bronze
27,3,2,159,237,3,Corner Section,0,Gold
27,3,3,159,131,2.5,Touchline Section,0,Silver
27,4,1,160,221,2,Goal Section,3,Silver
27,4,2,160,89,2.5,Upper Deck,3,Bronze
27,4,3,160,182,3.5,Corner Section,2,Silver
27,5,1,161,128,1,Touchline Section,0,Silver
27,5,2,161,321,3,Corner Section,3,Gold
27,5,3,161,157,1.5,Touchline Section,1,Silver
27,6,1,162,276,1.5,Goal Section,1,Gold
27,6,2,162,32,2,Upper Deck,1,Bronze
27,6,3,162,121,1,Corner Section,0,Silver
28,1,1,163,80,1.5,Goal Section,2,Bronze
28,1,2,163,84,3.5,Goal Section,2,Bronze
28,1,3,163,63,3.5,Upper Deck,2,Bronze
28,2,1,164,40,2.5,Corner Section,1,Bronze
28,2,2,164,330,0.5,Goal Section,3,Gold
28,2,3,164,253,0.5,Upper Deck,1,Gold
28,3,1,165,226,1,Upper Deck,0,Gold
28,3,2,165,307,3,Goal Section,2,Gold
28,3,3,165,173,2.5,Upper Deck,2,Silver
28,4,1,166,283,1.5,Upper Deck,2,Gold
28,4,2,166,140,3.5,Goal Section,0,Silver
28,4,3,166,270,2,Touchline Section,1,Gold
28,5,1,167,203,3.5,Upper Deck,3,Silver
28,5,2,167,74,2,Touchline Section,2,Bronze
28,5,3,167,286,3,Upper Deck,2,Gold
28,6,1,168,308,3.5,Goal Section,2,Gold
28,6,2,168,154,3.5,Corner Section,1,Silver
28,6,3,168,1,0.5,Upper Deck,0,Bronze
29,1,1,169,196,3.5,Goal Section,2,Silver
29,1,2,169,248,1.5,Goal Section,0,Gold
29,1,3,169,120,0.5,Corner Section,0,Silver
29,2,1,170,134,0.5,Goal Section,0,Silver
29,2,2,170,235,2,Corner Section,0,Gold
29,2,3,170,79,1,Goal Section,2,Bronze
29,3,1,171,232,0.5,Corner Section,0,Gold
29,3,2,171,42,3.5,Corner Section,1,Bronze
29,3,3,171,306,2.5,Goal Section,2,Gold
29,4,1,172,289,1,Corner Section,2,Gold
29,4,2,172,294,3.5,Corner Section,2,Gold
29,4,3,172,41,3,Corner Section,1,Bronze
29,5,1,173,65,1,Corner Section,2,Bronze
29,5,2,173,157,1.5,Touchline Section,1,Silver
29,5,3,173,133,3.5,Touchline Section,0,Silver
29,6,1,174,65,1,Corner Section,2,Bronze
29,6,2,174,327,2.5,Touchline Section,3,Gold
29,6,3,174,279,3,Goal Section,1,Gold
30,1,1,175,141,0.5,Upper Deck,1,Silver
30,1,2,175,188,3,Touchline Section,2,Silver
30,1,3,175,145,2.5,Upper Deck,1,Silver
30,2,1,176,229,2.5,Upper Deck,0,Gold
30,2,2,176,220,1.5,Goal Section,3,Silver
30,2,3,176,271,2.5,Touchline Section,1,Gold
30,3,1,177,200,2,Upper Deck,3,Silver
30,3,2,177,314,3,Upper Deck,3,Gold
30,3,3,177,157,1.5,Touchline Section,1,Silver
30,4,1,178,234,1.5,Corner Section,0,Gold
30,4,2,178,282,1,Upper Deck,2,Gold
30,4,3,178,241,1.5,Touchline Section,0,Gold
30,5,1,179,107,1,Goal Section,3,Bronze
